date,DEI
2020-01-01,3.44111433308411
2020-01-02,2.02930524737756
2020-01-03,-1.0114988426215
2020-01-04,-1.38517224556376
2020-01-05,2.87421318374505
2020-01-06,2.06368032908285
2020-01-07,0.269297108166203
2020-01-08,1.97301455460895
2020-01-09,4.69175312575148
2020-01-10,2.18015871452972
2020-01-11,3.26196635977194
2020-01-12,3.84479920586298
2020-01-13,4.05075583653911
2020-01-14,1.95304751751403
2020-01-15,2.63846724098198
2020-01-16,2.91791729836894
2020-01-17,1.10256473002875
2020-01-18,0.496812071291054
2020-01-19,2.85778514420226
2020-01-20,6.07806839859721
2020-01-21,2.80631089374794
2020-01-22,1.95289054622082
2020-01-23,4.37886347774994
2020-01-24,4.98583481156251
2020-01-25,5.05463088844192
2020-01-26,5.92978362519646
2020-01-27,4.18328912545202
2020-01-28,1.69388489709922
2020-01-29,2.93549162964268
2020-01-30,4.17811916401951
2020-01-31,2.28248950155107
2020-02-01,2.07713570757649
2020-02-02,-0.725574370246987
2020-02-03,1.01582142724698
2020-02-04,-2.12220748666688
2020-02-05,-3.02902122506441
2020-02-06,-0.100322555485287
2020-02-07,0.120940965690938
2020-02-08,-1.6927091210241
2020-02-09,-0.548067326433439
2020-02-10,2.73233351408797
2020-02-11,-0.363590062389407
2020-02-12,6.17334275001388
2020-02-13,6.94540371667414
2020-02-14,0.624346202588876
2020-02-15,1.53156494440129
2020-02-16,4.02586914719728
2020-02-17,10.169353918485
2020-02-18,3.0523431500191
2020-02-19,2.36765652471888
2020-02-20,3.77099914457624
2020-02-21,1.13254660538867
2020-02-22,3.95138800540995
2020-02-23,3.91192684921258
2020-02-24,0.853018524482321
2020-02-25,6.48701591443034
2020-02-26,2.70546147080924
2020-02-27,0.725317242066379
2020-02-28,1.95548466998789
2020-03-01,3.59512659154315
2020-03-02,4.99270971657408
2020-03-03,1.8616298067025
2020-03-04,5.42446887985942
2020-03-05,2.62264522101877
2020-03-06,5.05835395861639
2020-03-07,3.78450146361117
2020-03-08,2.33452935102449
2020-03-09,3.25257265100121
2020-03-10,4.85133849661305
2020-03-11,7.01165470318195
2020-03-12,5.75577321800275
2020-03-13,6.68699072949038
2020-03-14,-1.42151255434509
2020-03-15,2.99346713104197
2020-03-16,-0.476035927255626
2020-03-17,-1.67777440571582
2020-03-18,-4.44405380830634
2020-03-19,-14.1583487352298
2020-03-20,-14.170604770494
2020-03-21,-19.7941156482386
2020-03-22,-24.1597689508911
2020-03-23,-19.3967800601922
2020-03-24,-22.110451031483
2020-03-25,-19.5817878698928
2020-03-26,-19.7765709129017
2020-03-27,-18.2228013522439
2020-03-28,-25.9279109924811
2020-03-29,-28.5035435020512
2020-03-30,-19.3115554188765
2020-03-31,-18.1147899805528
2020-04-01,-18.441168444976
2020-04-02,-20.6465629778519
2020-04-03,-22.4789863724597
2020-04-04,-26.3910779621849
2020-04-05,-27.2578099464351
2020-04-06,-25.1327718612717
2020-04-07,-25.8192138336547
2020-04-08,-25.0365706675249
2020-04-09,-28.3722116814897
2020-04-10,-30.9395893368593
2020-04-11,-23.1798464341226
2020-04-12,-29.0089613942025
2020-04-13,-24.0204164333295
2020-04-14,-21.9464345068126
2020-04-15,-22.6735553144756
2020-04-16,-21.2151249553774
2020-04-17,-24.8691386361974
2020-04-18,-24.6791667632691
2020-04-19,-29.632382825914
2020-04-20,-25.9405235358778
2020-04-21,-20.959019582033
2020-04-22,-21.7300300956604
2020-04-23,-20.699684564749
2020-04-24,-24.1278646753428
2020-04-25,-28.7937326313393
2020-04-26,-24.5860015231879
2020-04-27,-20.3563965450003
2020-04-28,-18.1646940224069
2020-04-29,-17.5110779488279
2020-04-30,-20.4148823158259
2020-05-01,-27.2628472128984
2020-05-02,-26.3478131707552
2020-05-03,-29.8005518645047
2020-05-04,-17.1534060059688
2020-05-05,-21.9382536874318
2020-05-06,-19.332362081717
2020-05-07,-22.667096330141
2020-05-08,-20.3853310546676
2020-05-09,-25.032732641044
2020-05-10,-28.2968794453438
2020-05-11,-22.1147814339668
2020-05-12,-20.8134834351284
2020-05-13,-20.7520333166175
2020-05-14,-20.7191383139051
2020-05-15,-14.8223538875185
2020-05-16,-24.3081534598258
2020-05-17,-26.8324903233984
2020-05-18,-21.7782825471665
2020-05-19,-19.014810929299
2020-05-20,-16.2819252999188
2020-05-21,-17.4619464939411
2020-05-22,-16.3567241343515
2020-05-23,-22.1610599193556
2020-05-24,-23.0440599245072
2020-05-25,-19.1623348957039
2020-05-26,-15.2101120682682
2020-05-27,-16.8503411213514
2020-05-28,-16.2084197654914
2020-05-29,-14.9481236638662
2020-05-30,-19.2852815748396
2020-05-31,-23.238997070704
2020-06-01,-19.7137577174854
2020-06-02,-18.4807864467293
2020-06-03,-17.3871039748009
2020-06-04,-16.1048556189824
2020-06-05,-12.9862185476062
2020-06-06,-18.7682176910814
2020-06-07,-19.0599716244843
2020-06-08,-14.0610315950674
2020-06-09,-10.9739554937432
2020-06-10,-5.95313700948498
2020-06-11,-26.2571496846424
2020-06-12,-15.8286679546564
2020-06-13,-17.3879897676362
2020-06-14,-19.7472925899416
2020-06-15,-10.4971348031819
2020-06-16,-11.9670682309148
2020-06-17,-13.4994995798877
2020-06-18,-11.2748175128542
2020-06-19,-12.5967125544106
2020-06-20,-8.30362159832433
2020-06-21,-16.7540846762015
2020-06-22,-11.0014546663246
2020-06-23,-13.5659906992718
2020-06-24,-9.72948605397718
2020-06-25,-11.7915520910801
2020-06-26,-11.3403235250455
2020-06-27,-17.5008016857884
2020-06-28,-17.9985435516274
